372,94,Fender Bender,0.976
373,94,Moderate,0.604
374,94,Severe,0.624
375,94,Fatal,0.932
376,95,Fender Bender,0.972
377,95,Moderate,0.596
378,95,Severe,0.612
379,95,Fatal,0.932
380,96,Fender Bender,0.972
381,96,Moderate,0.62
382,96,Severe,0.632
383,96,Fatal,0.924
384,97,Fender Bender,0.968
385,97,Moderate,0.612
386,97,Severe,0.632
387,97,Fatal,0.924
388,98,Fender Bender,0.972
389,98,Moderate,0.604
390,98,Severe,0.644
391,98,Fatal,0.92
392,99,Fender Bender,0.968
393,99,Moderate,0.624
394,99,Severe,0.62
395,99,Fatal,0.928
396,100,Fender Bender,0.976
397,100,Moderate,0.632
398,100,Severe,0.652
399,100,Fatal,0.92
