304,77,Fender Bender,0.98
305,77,Moderate,0.66
306,77,Severe,0.716
307,77,Fatal,0.96
308,78,Fender Bender,0.98
309,78,Moderate,0.668
310,78,Severe,0.712
311,78,Fatal,0.96
312,79,Fender Bender,0.98
313,79,Moderate,0.68
314,79,Severe,0.72
315,79,Fatal,0.96
316,80,Fender Bender,0.98
317,80,Moderate,0.676
318,80,Severe,0.716
319,80,Fatal,0.96
320,81,Fender Bender,0.98
321,81,Moderate,0.676
322,81,Severe,0.72
323,81,Fatal,0.96
324,82,Fender Bender,0.98
325,82,Moderate,0.656
326,82,Severe,0.716
327,82,Fatal,0.96
328,83,Fender Bender,0.98
329,83,Moderate,0.656
330,83,Severe,0.712
331,83,Fatal,0.96
332,84,Fender Bender,0.98
333,84,Moderate,0.652
334,84,Severe,0.724
335,84,Fatal,0.96
336,85,Fender Bender,0.98
337,85,Moderate,0.664
338,85,Severe,0.724
339,85,Fatal,0.96
340,86,Fender Bender,0.98
341,86,Moderate,0.66
342,86,Severe,0.724
343,86,Fatal,0.96
344,87,Fender Bender,0.98
345,87,Moderate,0.668
346,87,Severe,0.724
347,87,Fatal,0.96
348,88,Fender Bender,0.98
349,88,Moderate,0.66
350,88,Severe,0.72
351,88,Fatal,0.96
352,89,Fender Bender,0.98
353,89,Moderate,0.66
354,89,Severe,0.724
355,89,Fatal,0.96
356,90,Fender Bender,0.98
357,90,Moderate,0.668
358,90,Severe,0.72
359,90,Fatal,0.96
360,91,Fender Bender,0.98
361,91,Moderate,0.672
362,91,Severe,0.744
363,91,Fatal,0.96
364,92,Fender Bender,0.98
365,92,Moderate,0.652
366,92,Severe,0.712
367,92,Fatal,0.96
368,93,Fender Bender,0.98
369,93,Moderate,0.66
370,93,Severe,0.716
371,93,Fatal,0.96
372,94,Fender Bender,0.98
373,94,Moderate,0.656
374,94,Severe,0.712
375,94,Fatal,0.96
376,95,Fender Bender,0.98
377,95,Moderate,0.66
378,95,Severe,0.72
379,95,Fatal,0.96
380,96,Fender Bender,0.98
381,96,Moderate,0.668
382,96,Severe,0.724
383,96,Fatal,0.96
384,97,Fender Bender,0.98
385,97,Moderate,0.664
386,97,Severe,0.72
387,97,Fatal,0.96
388,98,Fender Bender,0.98
389,98,Moderate,0.672
390,98,Severe,0.716
391,98,Fatal,0.96
392,99,Fender Bender,0.98
393,99,Moderate,0.66
394,99,Severe,0.728
395,99,Fatal,0.96
396,100,Fender Bender,0.98
397,100,Moderate,0.668
398,100,Severe,0.72
399,100,Fatal,0.96
